epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,342.248,0.33516,0.26517,0.86712,0.98266,0.95575,0.97472,0.90229,0.36116,0.26655,0.88232,0.00526,0.00526,0.00526
81,346.506,0.32525,0.24633,0.87043,0.98202,0.96169,0.98065,0.90591,0.36067,0.2663,0.88071,0.0052,0.0052,0.0052
82,350.724,0.3193,0.24301,0.86368,0.97684,0.96679,0.97748,0.90027,0.35024,0.2524,0.87255,0.00514,0.00514,0.00514
83,354.981,0.34236,0.25599,0.87765,0.97791,0.96608,0.97827,0.90992,0.35479,0.2553,0.87337,0.00508,0.00508,0.00508
84,359.21,0.32316,0.24592,0.86571,0.98653,0.97542,0.98078,0.90779,0.35287,0.24456,0.86827,0.00502,0.00502,0.00502
85,363.571,0.30693,0.2336,0.8646,0.98785,0.97741,0.9786,0.90728,0.36367,0.24775,0.87627,0.00496,0.00496,0.00496
86,367.787,0.31994,0.24313,0.86522,0.98671,0.97038,0.97736,0.91369,0.35609,0.24993,0.88122,0.0049,0.0049,0.0049
87,372.006,0.31122,0.2385,0.86161,0.98686,0.96478,0.97463,0.90066,0.38344,0.24759,0.8948,0.00484,0.00484,0.00484
88,376.239,0.31397,0.23148,0.86452,0.98817,0.96105,0.97471,0.90821,0.36997,0.24114,0.89099,0.00478,0.00478,0.00478
89,380.482,0.31657,0.24368,0.86644,0.97977,0.96102,0.97739,0.91211,0.3579,0.24795,0.88512,0.00472,0.00472,0.00472
90,384.758,0.30014,0.22763,0.85805,0.97651,0.97251,0.96915,0.90076,0.35572,0.26578,0.88524,0.00466,0.00466,0.00466
91,388.939,0.31426,0.23165,0.86211,0.98231,0.96934,0.97661,0.90863,0.34442,0.25648,0.87485,0.0046,0.0046,0.0046
92,393.155,0.30469,0.23674,0.85731,0.98465,0.96633,0.97555,0.91089,0.35681,0.26017,0.88074,0.00454,0.00454,0.00454
93,397.361,0.32024,0.23909,0.86801,0.98554,0.97537,0.97557,0.90875,0.34196,0.23503,0.87554,0.00448,0.00448,0.00448
94,401.691,0.30569,0.23489,0.86239,0.9816,0.97232,0.9766,0.91023,0.33906,0.23074,0.87022,0.00442,0.00442,0.00442
95,405.95,0.30057,0.23451,0.86145,0.9842,0.96308,0.97751,0.91112,0.35175,0.25248,0.87916,0.00436,0.00436,0.00436
96,410.322,0.31525,0.23429,0.86183,0.98499,0.97383,0.97971,0.9131,0.34192,0.25144,0.8686,0.0043,0.0043,0.0043
97,414.853,0.28925,0.22285,0.85087,0.98399,0.97241,0.97695,0.90962,0.33312,0.25388,0.87091,0.00424,0.00424,0.00424
98,419.053,0.3071,0.23487,0.86168,0.98757,0.97211,0.97805,0.91229,0.32205,0.2439,0.86406,0.00418,0.00418,0.00418
99,423.365,0.2938,0.22653,0.85518,0.98925,0.97118,0.97735,0.91464,0.33125,0.24587,0.8704,0.00412,0.00412,0.00412
100,427.766,0.2911,0.22181,0.85639,0.9775,0.97611,0.97201,0.90407,0.33577,0.24858,0.86957,0.00406,0.00406,0.00406
101,432.032,0.28099,0.21982,0.85124,0.97659,0.97513,0.96881,0.90144,0.35099,0.25277,0.87963,0.004,0.004,0.004
102,436.279,0.28799,0.22424,0.85425,0.98462,0.96982,0.97591,0.90654,0.34238,0.2501,0.87232,0.00394,0.00394,0.00394
103,440.455,0.29058,0.21752,0.85504,0.98553,0.97067,0.97666,0.90857,0.33549,0.25,0.87243,0.00388,0.00388,0.00388
104,444.705,0.27197,0.20744,0.85186,0.98891,0.97185,0.9775,0.91445,0.33079,0.22839,0.86574,0.00382,0.00382,0.00382
105,448.946,0.28969,0.22156,0.85132,0.98822,0.97113,0.9802,0.91725,0.33673,0.23449,0.86662,0.00376,0.00376,0.00376
106,453.285,0.2735,0.2134,0.85491,0.98982,0.97236,0.98064,0.91353,0.33633,0.23284,0.87059,0.0037,0.0037,0.0037
107,457.54,0.27954,0.22041,0.85291,0.98933,0.97209,0.97835,0.91316,0.32929,0.23547,0.86923,0.00364,0.00364,0.00364
108,461.947,0.29608,0.22825,0.86244,0.98806,0.97244,0.98405,0.91242,0.33776,0.23933,0.87066,0.00358,0.00358,0.00358
109,466.149,0.28009,0.21927,0.85514,0.98451,0.97275,0.98044,0.91277,0.33732,0.23773,0.87329,0.00352,0.00352,0.00352
110,470.367,0.28799,0.22891,0.85714,0.98318,0.9725,0.97744,0.90605,0.33654,0.23433,0.8691,0.00346,0.00346,0.00346
111,474.631,0.28281,0.21878,0.85325,0.98589,0.97497,0.97463,0.91028,0.33383,0.22848,0.8718,0.0034,0.0034,0.0034
112,478.883,0.28059,0.21503,0.85227,0.98555,0.97483,0.97709,0.9153,0.32274,0.2279,0.87056,0.00334,0.00334,0.00334
113,483.166,0.27769,0.2164,0.85327,0.97674,0.97033,0.97179,0.90607,0.33148,0.2486,0.87301,0.00328,0.00328,0.00328
114,487.371,0.27703,0.21524,0.85311,0.98493,0.97204,0.97609,0.91027,0.33599,0.23594,0.87281,0.00322,0.00322,0.00322
115,491.612,0.28649,0.21723,0.8596,0.98589,0.97452,0.97603,0.9147,0.33251,0.22749,0.87663,0.00316,0.00316,0.00316
116,495.875,0.2676,0.20849,0.84842,0.98447,0.97073,0.97641,0.91763,0.33291,0.22177,0.87705,0.0031,0.0031,0.0031
117,500.25,0.27796,0.21619,0.85618,0.98815,0.96714,0.97837,0.91764,0.3302,0.22077,0.87558,0.00304,0.00304,0.00304
118,504.831,0.27542,0.20799,0.85762,0.98778,0.96617,0.97604,0.9158,0.33047,0.22783,0.87206,0.00298,0.00298,0.00298
119,509.299,0.25826,0.20127,0.84435,0.98696,0.96233,0.97526,0.91217,0.33235,0.22314,0.87195,0.00292,0.00292,0.00292
120,513.881,0.27674,0.21024,0.85622,0.98642,0.97514,0.9751,0.91172,0.32801,0.22244,0.86979,0.00286,0.00286,0.00286
121,518.146,0.25915,0.2011,0.84903,0.98315,0.97048,0.97613,0.9152,0.32101,0.22747,0.86292,0.0028,0.0028,0.0028
122,522.413,0.27327,0.20956,0.85152,0.98491,0.96541,0.97911,0.9209,0.31872,0.22477,0.86425,0.00274,0.00274,0.00274
123,526.993,0.27521,0.20805,0.85616,0.98344,0.973,0.97711,0.92056,0.32031,0.21375,0.86587,0.00268,0.00268,0.00268
124,531.638,0.2514,0.19662,0.84459,0.9803,0.97098,0.96855,0.9111,0.31729,0.22854,0.86119,0.00262,0.00262,0.00262
125,536.296,0.25291,0.19524,0.84776,0.98088,0.97111,0.9734,0.91592,0.31494,0.21815,0.86213,0.00256,0.00256,0.00256
126,540.665,0.25057,0.19419,0.84112,0.98916,0.9723,0.97675,0.92021,0.31985,0.22077,0.86129,0.0025,0.0025,0.0025
127,545.21,0.24891,0.19165,0.84406,0.98901,0.97416,0.97559,0.91959,0.31793,0.213,0.86549,0.00244,0.00244,0.00244
128,549.611,0.25449,0.1895,0.8431,0.98884,0.97629,0.9752,0.91755,0.31711,0.2193,0.86447,0.00238,0.00238,0.00238
129,553.827,0.26015,0.19728,0.8505,0.98289,0.97652,0.97527,0.91572,0.32331,0.22675,0.87406,0.00232,0.00232,0.00232
130,558.143,0.25482,0.19455,0.84621,0.98261,0.9765,0.96924,0.90883,0.31705,0.22078,0.86977,0.00226,0.00226,0.00226
131,562.372,0.24734,0.19741,0.84966,0.98581,0.97986,0.97745,0.91839,0.31975,0.21577,0.86509,0.0022,0.0022,0.0022
132,566.584,0.25302,0.1905,0.85059,0.98681,0.97825,0.97748,0.91967,0.30853,0.21622,0.86003,0.00214,0.00214,0.00214
133,570.876,0.24582,0.18566,0.84331,0.98829,0.97535,0.97755,0.91945,0.30893,0.21519,0.86148,0.00208,0.00208,0.00208
134,575.134,0.24314,0.18736,0.84235,0.98446,0.97965,0.97835,0.91906,0.30962,0.21659,0.8652,0.00202,0.00202,0.00202
135,579.381,0.24074,0.18628,0.84209,0.98981,0.9755,0.97821,0.92115,0.30881,0.21952,0.8603,0.00196,0.00196,0.00196
136,583.598,0.23769,0.18209,0.84199,0.99136,0.97852,0.97791,0.92581,0.29927,0.21775,0.85923,0.0019,0.0019,0.0019
137,587.826,0.24044,0.18419,0.84769,0.9906,0.9785,0.97858,0.92133,0.30861,0.22041,0.86411,0.00184,0.00184,0.00184
