epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,62.6974,0.2298,0.29434,0.81761,0.9701,0.94792,0.93775,0.86635,0.28081,0.32617,0.8024,0.000167125,0.000167125,0.000167125
76,63.4999,0.22572,0.29106,0.81259,0.97679,0.9469,0.93512,0.86546,0.2832,0.32504,0.80316,0.000160938,0.000160938,0.000160938
77,64.3011,0.23585,0.29026,0.81349,0.97857,0.94562,0.93488,0.86701,0.27973,0.32615,0.80135,0.00015475,0.00015475,0.00015475
78,65.1029,0.2364,0.29973,0.81754,0.97675,0.9458,0.93488,0.87326,0.27503,0.32383,0.80068,0.000148563,0.000148563,0.000148563
79,65.9124,0.22016,0.28953,0.80843,0.97512,0.94647,0.93491,0.86583,0.28491,0.32269,0.8004,0.000142375,0.000142375,0.000142375
80,66.7136,0.22676,0.29384,0.81068,0.97632,0.94729,0.9349,0.86449,0.28101,0.31908,0.80151,0.000136187,0.000136187,0.000136187
81,67.5161,0.22574,0.29358,0.82057,0.97633,0.94629,0.93537,0.86288,0.28011,0.32246,0.80281,0.00013,0.00013,0.00013
82,68.3191,0.23394,0.2939,0.8225,0.9758,0.94586,0.93536,0.85709,0.28509,0.31828,0.80252,0.000123812,0.000123812,0.000123812
83,69.1151,0.21837,0.28914,0.81386,0.97807,0.94485,0.93489,0.85759,0.27345,0.31603,0.80291,0.000117625,0.000117625,0.000117625
84,69.9193,0.22524,0.29238,0.816,0.97976,0.94417,0.93518,0.85756,0.27358,0.31168,0.80177,0.000111438,0.000111438,0.000111438
85,70.7311,0.22192,0.28238,0.80957,0.97929,0.93957,0.93488,0.86418,0.27281,0.3202,0.80035,0.00010525,0.00010525,0.00010525
86,71.5246,0.2179,0.28509,0.81171,0.97911,0.94792,0.93488,0.8647,0.26532,0.31456,0.80084,9.90625e-05,9.90625e-05,9.90625e-05
87,72.3316,0.21798,0.27521,0.81725,0.97891,0.94792,0.93506,0.8686,0.26944,0.30939,0.80124,9.2875e-05,9.2875e-05,9.2875e-05
88,73.1424,0.21669,0.27868,0.81477,0.9794,0.94792,0.93654,0.87848,0.26676,0.31165,0.79834,8.66875e-05,8.66875e-05,8.66875e-05
89,73.9521,0.21099,0.27589,0.81472,0.97942,0.94792,0.93703,0.87349,0.26929,0.31201,0.79969,8.05e-05,8.05e-05,8.05e-05
90,74.7652,0.22226,0.28786,0.80716,0.98022,0.94701,0.93704,0.87333,0.2629,0.30982,0.79959,7.43125e-05,7.43125e-05,7.43125e-05
91,75.9612,0.19775,0.24723,0.8137,0.97872,0.94792,0.9375,0.86678,0.28442,0.31529,0.80208,6.8125e-05,6.8125e-05,6.8125e-05
92,76.7628,0.18719,0.23581,0.80868,0.97596,0.9475,0.93744,0.86651,0.27832,0.31086,0.80219,6.19375e-05,6.19375e-05,6.19375e-05
93,77.5619,0.17073,0.225,0.80887,0.97437,0.94646,0.93575,0.86888,0.26354,0.31139,0.80106,5.575e-05,5.575e-05,5.575e-05
94,78.3501,0.16435,0.22112,0.80878,0.97396,0.94621,0.93827,0.87157,0.26125,0.30444,0.80091,4.95625e-05,4.95625e-05,4.95625e-05
95,79.1441,0.1555,0.21404,0.80743,0.97603,0.94566,0.9386,0.8714,0.26414,0.30129,0.80127,4.3375e-05,4.3375e-05,4.3375e-05
96,79.9367,0.15567,0.21567,0.80825,0.97792,0.94553,0.93899,0.87074,0.25951,0.295,0.80108,3.71875e-05,3.71875e-05,3.71875e-05
97,80.7429,0.14721,0.20731,0.80817,0.97879,0.94573,0.93918,0.87505,0.25614,0.29049,0.80129,3.1e-05,3.1e-05,3.1e-05
98,81.5328,0.14138,0.2052,0.80305,0.97918,0.9458,0.93907,0.8739,0.25762,0.29395,0.80159,2.48125e-05,2.48125e-05,2.48125e-05
99,82.3279,0.13799,0.19874,0.80438,0.97932,0.94572,0.93879,0.875,0.25927,0.29374,0.80218,1.8625e-05,1.8625e-05,1.8625e-05
100,83.1197,0.14058,0.19959,0.80539,0.97936,0.94567,0.93919,0.87509,0.26103,0.2946,0.80271,1.24375e-05,1.24375e-05,1.24375e-05
